wd_id,osm_relid,latlong_wgs84,ibge_id,name
181056,326286,Point(-60.671944444 2.82),1400100,Boa Vista
181544,,Point(-46.683333333 -24.483333333),,Ilha da Queimada Grande
181783,,Point(-50.140275 -15.934175),,Roman Catholic Diocese of Goiás
183444,,Point(-53.1848145 -11.23228633),,Xingu National Park
184403,297968,Point(-46.565 -23.693888888),3548708,São Bernardo do Campo
184409,298165,Point(-46.533333333 -23.466666666),3518800,Guarulhos
187160,242710,Point(-50.133888888 -29.985),4321600,Tramandaí
187817,,Point(-43.22216111 -22.98356111),,Leblon
188892,298156,Point(-47.806666666 -21.178333333),3543402,Ribeirão Preto
188897,2709115,Point(-43.450833333 -22.758888888),3303500,Nova Iguaçu
188901,298424,Point(-47.457777777 -23.501944444),3552205,Sorocaba
188905,314853,Point(-43.64191 -20.39304),3146107,Ouro Preto
188905,314853,Point(-43.503611111 -20.385277777),3146107,Ouro Preto
189043,2219094,Point(-43.178888888 -22.505),3303906,Petrópolis
191441,,Point(-34.926326 -8.078441),,Torre do Zeppelin
191635,,Point(-54.5917511 -25.59245864),,Iguazu River
191635,,Point(-54.435 -25.68),,Iguazu River
191635,,Point(-49.0031 -25.3917),,Iguazu River
191642,298019,Point(-45.886944444 -23.178888888),3549904,São José dos Campos
191652,298086,Point(-46.533333333 -23.657222222),3547809,Santo André
192146,2731077,Point(-46.631892 -23.566644),,Liberdade District
192181,298344,Point(-49.378888888 -20.82),3549805,São José do Rio Preto
192387,297756,Point(-51.162777777 -23.31),4113700,Londrina
193016,301462,Point(-35.881111111 -7.230555555),2504009,Campina Grande
193019,314769,Point(-43.35 -21.75),3136702,Juiz de Fora
193021,2220782,Point(-43.311944444 -22.785833333),3301702,Duque de Caxias
193264,,Point(-49.581667 -0.978611),,Marajó
193350,334603,Point(-49.217777777 -18.42),5211503,Itumbiara
194286,242739,Point(-53.058888888 -29.033888888),4310876,Jacuizinho
194325,242574,Point(-51.18 -29.92),4304606,Canoas
194328,314875,Point(-48.276944444 -18.918888888),3170206,Uberlândia
194332,298415,Point(-46.193055555 -23.522777777),3530607,Mogi das Cruzes
194338,297986,Point(-47.890833333 -22.017777777),3548906,São Carlos
194343,362294,Point(-38.966944444 -12.266944444),2910800,Feira de Santana
194357,242309,Point(-53.246944444 -28.357777777),4316709,Santa Bárbara do Sul
194362,242340,Point(-53.095 -28.741944444),4315354,Quinze de Novembro
194374,242352,Point(-53.915 -28.387777777),4310207,Ijuí
194389,242298,Point(-53.212777777 -29.087777777),4316451,Salto do Jacuí
194423,242414,Point(-53.09 -28.627777777),4310009,Ibirubá
194507,242614,Point(-54.121944444 -28.646944444),4311155,Jóia
195200,242627,Point(-53.095 -28.392777777),4316436,Saldanha Marinho
195943,,Point(-53.78766944 -29.69775833),,Sede District
200635,,Point(-44.85 -22.41666667),,Mantiqueira Mountains
201017,,Point(-47.61805556 -14.13361111),,Bona Espero
201220,,Point(-48.28 -17.300833333),,Pires do Rio
201720,,Point(-47.875555555 -15.798333333),,Cathedral of Brasília
202316,297473,Point(-54.587777777 -25.547777777),4108304,Foz do Iguaçu
202730,,Point(-43.180697222 -22.967033333),,Copacabana
203325,,Point(-43.16472222 -22.95527778),,Praia Vermelha
205516,,Point(-60.07944444 -3.12194444),,Phelippe Daou Bridge
205681,297564,Point(-53.455 -24.955833333),4104808,Cascavel
206105,297610,Point(-48.542777777 -25.817777777),4115705,Matinhos
208347,,Point(-61.4702 -19.1622),,Gran Chaco
208669,297521,Point(-51.938888888 -23.425),4115200,Maringá
208807,,Point(-60.7625 5.143333),,Guiana Shield
208807,,Point(-60.0 4.0),,Guiana Shield
210722,,Point(-43.15516 -22.94949),,Sugarloaf Mountain
212248,,Point(-46.658888888 -23.588333333),,Ibirapuera Park
213782,,Point(-67.9741 -3.135030555),,Putumayo River
213782,,Point(-67.9741 -3.135),,Putumayo River
219506,,Point(-49.3675 -28.684167),,Estádio Heriberto Hülse
223422,334463,Point(-48.952777777 -16.326944444),5201108,Anápolis
224101,,Point(-43.155669444 -22.790427777),,Guanabara Bay
224690,242528,Point(-51.177777777 -29.518888888),4315149,Presidente Lucena
224967,301304,Point(-37.941944444 -6.813888888),2513968,São Domingos
225060,,Point(-54.95 -2.51666667),,Alter do Chão
225897,,Point(-43.77855 -22.86915),,Roman Catholic Diocese of Itaguaí
226009,242356,Point(-51.87 -29.235833333),4306809,Encantado
241074,,Point(-33.816666666 -3.866666666),,Rocas Atoll
241357,,Point(-29.334444444 0.916944444),,Saint Peter and Saint Paul Archipelago
241478,,Point(-29.083333333 -20.516666666),,Trindade and Martim Vaz
241645,298315,Point(-49.060555555 -22.314722222),3506003,Bauru
241690,,Point(-58.755575 -11.4185),,Roman Catholic Diocese of Juína
242906,297796,Point(-50.161944444 -25.095),4119905,Ponta Grossa
244169,,Point(-54.59 -25.407777777),,Itaipu Binacional
244451,,Point(-54.883333333 -2.3),,Amazon basin
249680,,Point(-50.34305556 -19.85833333),,Água Vermelha Dam
249738,334459,Point(-47.783888888 -14.985833333),5200175,Água Fria de Goiás
249765,334476,Point(-48.761944444 -18.073888888),5200209,Água Limpa
249795,242438,Point(-52.033888888 -28.176944444),4300059,Água Santa
249830,334533,Point(-48.281944444 -15.761944444),5200258,Águas Lindas de Goiás
249844,296576,Point(-48.823888888 -27.693888888),4200606,Águas Mornas
249869,298061,Point(-46.632777777 -22.475833333),3500501,Águas de Lindóia
249900,297918,Point(-47.875833333 -22.598888888),3500600,Águas de São Pedro
250235,,Point(-43.1833 -22.9),,Roman Catholic Archdiocese of São Sebastião do Rio de Janeiro
251858,3871700,Point(-49.378888888 -26.25),,North Santa Catarina
252242,333707,Point(-54.255 -16.465),5107297,São José do Povo
252608,314589,Point(-42.715833333 -19.055833333),3108800,Braúnas
253986,,Point(-65.4925 -4.470555555),,Tefé River
253986,,Point(-64.65 -3.375416666),,Tefé River
256489,302763,Point(-41.596944444 -7.877777777),2202802,Conceição do Canindé
257236,303612,Point(-35.705833333 -8.327777777),2612000,Sairé
258992,334537,Point(-49.583888888 -15.315),5218607,Rialma
261873,,Point(-38.716666666 -3.633333333),,Cumbuco
262842,,Point(-43.685 -22.92027778),,"Santa Cruz, Rio de Janeiro"
263731,333715,Point(-56.083888888 -13.837777777),5106224,Nova Mutum
264019,,Point(-48.28194444 -15.76194444),,Entorno do Distrito Federal
264690,362553,Point(-39.550833333 -14.640833333),2908002,Coaraci
265456,,Point(-43.407283 -22.820966),,Anchieta rail disaster
266960,242476,Point(-54.913888888 -30.257777777),4316402,Rosário do Sul
267394,,Point(-42.55 -8.6667),,Serra da Capivara National Park
267439,1823223,Point(-40.510833333 -20.657777777),3202405,Guarapari
268193,298084,Point(-50.727777777 -20.159166666),3503950,Aspásia
268774,298081,Point(-44.322777777 -22.683888888),3504909,"Bananal, São Paulo"
268782,298279,Point(-49.445 -20.917777777),3504602,Bady Bassitt
268806,298053,Point(-49.3375 -22.455555555),3508306,Cabrália Paulista
268906,298465,Point(-49.356666666 -21.899722222),3504701,Balbinos
268938,298320,Point(-48.390833333 -21.9925),3506706,Boa Esperança do Sul
268956,298185,Point(-50.555 -20.685833333),3504206,Auriflama
270048,298436,Point(-47.973333333 -21.236388888),3514601,Dumont
271215,2697064,Point(-57.652777777 -19.008888888),5003207,Corumbá
271333,368786,Point(-44.053888888 -19.931944444),3118601,Contagem
271374,,Point(-46.256388888 -23.993611111),3518701,Guaruja
271393,303709,Point(-35.015 -8.112777777),2607901,Jaboatão dos Guararapes
272254,297995,Point(-46.392222222 -23.963333333),3551009,São Vicente
275109,,Point(-46.884166666 -23.186388888),3525904,Jundiaí
275654,315121,Point(-43.857777777 -20.5),3118007,Congonhas
276176,2217382,Point(-44.103888888 -22.522777777),3306305,Volta Redonda
278512,,Point(-47.684611 -14.005694),,Cerrado
279130,242489,Point(-54.100833333 -27.5),4306007,Crissiumal
279492,334036,Point(-54.821944444 -22.633888888),5002407,"Caarapó, Mato Grosso do Sul"
279605,,Point(-46.62361111 -23.50833333),,Carandiru Penitentiary
279830,,Point(-46.7008 -23.5719),,West Zone
279959,,Point(-40.630525 -19.5375),,Roman Catholic Diocese of Colatina
280247,,Point(-43.116666666 -22.904166666),,Universidade Federal Fluminense
281011,334566,Point(-49.425833333 -16.495833333),5208806,Goianira
281521,,Point(-43.196851 -22.911384),,Sambadrome Marquês de Sapucaí
282059,,Point(-50.416666666 -11.333333333),,Bananal Island
282133,301192,Point(-35.007777777 -6.368888888),2401404,Baía Formosa
282335,362323,Point(-39.741944444 -17.535),2931350,Teixeira de Freitas
282667,298288,Point(-50.343055555 -20.763055555),3532868,Nova Castilho
282771,,Point(-53.76944444 -29.69777778),,Sanga da Alemoa
283581,314837,Point(-43.931944444 -14.755833333),3139300,Manga
283682,315340,Point(-45.766388888 -21.533055555),3147204,Paraguaçu
283971,362155,Point(-40.302777777 -11.02),2905503,Caldeirão Grande
284134,301399,Point(-36.491944444 -7.726944444),2504074,Caraúbas
284334,302582,Point(-40.308888888 -5.395833333),2305605,Independência
285051,301355,Point(-37.535833333 -6.188888888),2502003,Belém do Brejo do Cruz
285551,334544,Point(-48.772777777 -17.773888888),5218789,Rio Quente
285681,,Point(-40.194 -10.457),,Senhor do Bonfim
285815,296718,Point(-48.666666666 -26.75),4212809,Piçarras
287199,,Point(-46.541578 -23.665966),,ABC Region
289067,301377,Point(-35.833888888 -6.902777777),2512705,Remígio
289981,296689,Point(-51.405833333 -26.905),4215406,Salto Veloso
290350,,Point(-43.35027778 -22.95805556),,Gardênia Azul
291277,298435,Point(-47.560833333 -22.410833333),3543907,Rio Claro
301283,298147,Point(-49.031944444 -20.963888888),3552601,Tabapuã
301331,334438,Point(-48.67 -16.463888888),5208152,Gameleira de Goiás
301383,334419,Point(-49.613888888 -17.805),5212105,Joviânia
301590,297901,Point(-49.520833333 -22.358611111),3515657,Fernão
301661,,Point(-40.499325 -9.412175),,Roman Catholic Diocese of Juazeiro
301700,332874,Point(-44.038888888 -2.863888888),2107100,Morros
301700,332874,Point(-43.87725 -2.96159),2107100,Morros
302109,,Point(-43.59222222 -22.91138889),,Inhoaíba
303107,297555,Point(-51.950833333 -23.007777777),4113601,Lobato
303413,298268,Point(-49.403888888 -22.414444444),3514502,Duartina
304119,315330,Point(-43.03311 -21.64268),3156205,Rochedo de Minas
304119,315330,Point(-43.02 -21.63),3156205,Rochedo de Minas
304652,334407,Point(-49.437777777 -16.756944444),5200050,Abadia de Goiás
304716,334468,Point(-48.706944444 -16.203888888),5200100,Abadiânia
304947,2215554,Point(-43.292777777 -22.161944444),3303708,Paraíba do Sul
305132,298035,Point(-49.10219 -20.53889),3500907,"Altair, São Paulo"
305132,298035,Point(-49.059444444 -20.524166666),3500907,"Altair, São Paulo"
305180,332811,Point(-44.98 -4.608888888),2105948,Lago dos Rodrigues
318314,314741,Point(-42.536944444 -19.467777777),3131307,Ipatinga
320487,6449373,Point(-46.772777777 -1.062777777),1501709,Bragança
320487,90128,Point(-46.772777777 -1.062777777),1501709,Bragança
321331,242616,Point(-51.130833333 -29.677777777),4313409,Novo Hamburgo
326349,242742,Point(-51.977777777 -31.365),4318804,São Lourenço do Sul
326354,297846,Point(-51.457777777 -25.395),4109401,Guarapuava
326651,4271672,Point(-49.176944444 -26.740833333),4213203,Pomerode
327210,296642,Point(-48.778888888 -27.687777777),4215703,Santo Amaro da Imperatriz
329488,296588,Point(-48.917777777 -27.097777777),4202909,"Brusque, Santa Catarina"
330175,298413,Point(-47.77297 -22.71579),3538709,Piracicaba
330175,298413,Point(-47.649166666 -22.725277777),3538709,Piracicaba
330202,,Point(-46.348611111 -23.486388888),3523107,Itaquaquecetuba
331300,297922,Point(-46.460833333 -23.667777777),3529401,Mauá
331529,,Point(-38.667172222 -18.037680555),,Abrolhos Archipelago
