osm_type,osm_id,wd_id,geohash
n,415523628,Q1760259,6gtk86x2d42
n,415523629,Q2201300,6gsfz0bferv
n,415523633,Q1805391,6gswdk25ur4
n,415523634,Q1803599,6gstuxfck2p
n,415523637,Q1803923,6gs6599zfpp
n,415523638,Q2077411,6gs6yq3h49v
n,415523640,Q1803311,6gskrtehzbz
n,415523641,Q1803813,6gmwe820py6
n,415523642,Q206105,6gmmpef6vr0
n,415523643,Q242906,6gs368dmp04
n,415523645,Q650514,6gmpem2gz9w
n,415523646,Q1788891,6gmp286bpdw
n,415523651,Q478818,6gmn8r8qsz8
n,415523654,Q156819,6gm627mmprt
n,415523655,Q607184,6gm3gr6msje
n,415523656,Q1784611,6gjrtj8tvu3
n,415523657,Q1798851,6gtqrsmzes3
n,415523658,Q1760947,6gtg368crhy
n,415523661,Q734937,6gtq4q8me4k
n,415523665,Q1798084,6gtuxk23jhs
n,415523667,Q1760417,6gwjsj0vfvq
n,415523668,Q1760269,6gwmb5jrvp2
n,415523669,Q579753,6gwmy6pkh48
n,415523670,Q983529,6gwygj3ygnn
n,415523672,Q385327,6fbhvxjcsun
n,415523675,Q1637478,6dxg5qmeqtr
n,415523676,Q851276,6f8qd2g7tqx
n,415523677,Q917693,6f8822fbpux
n,415523678,Q1749875,6f3peze4s37
n,415523680,Q1750146,6f8zcdyj5gp
n,415523681,Q266960,6f8gyk9vpm1
n,415523686,Q1750103,6dzf30u7r49
n,415523687,Q1754325,6fbfc009rhb
n,415523694,Q647406,6fbymkddw48
n,415523703,Q1774466,6g107wqndz4
n,415523704,Q533379,6g10wcfdu00
n,415523705,Q742521,6fcph9bkj9p
n,415523707,Q630661,6f9rn2r5b7m
n,415523708,Q2007743,6f9rx0sn90f
n,415523709,Q929890,6f977vg6kux
n,415523710,Q960563,6f9rbf04e4z
n,415523712,Q1774423,6fcnxydd7bn
n,415523717,Q590326,6fcqthgvx1q
n,415523720,Q1785990,6g12e1wnvux
n,415523721,Q824031,6fcrj05ur2d
n,415523722,Q601766,6fcrbxjkw13
n,415523723,Q1750443,6fdcq6b51dk
n,415523726,Q1749863,6f66wp8nze7
n,415523728,Q1749867,6f6em31syew
n,415523731,Q1750149,6f98twbknzj
n,415523732,Q1749869,6f9fqv8d9s5
n,415523733,Q1754351,6f9emu5mcgx
n,415523734,Q1757144,6f9umh0pjwy
n,415523736,Q740833,6f9xpeffpyg
n,415523737,Q1757137,6f9xywb25r7
n,415523739,Q1757439,6fcbhdpgmh8
n,415523740,Q1757698,6f9zkee7gk9
n,415523742,Q1638441,6f6jpdfz7rb
n,415523743,Q1757460,6fdn3kqts6g
n,415523744,Q600808,6fddhzf2kdb
n,415523745,Q1750271,6f9zxbdhksh
n,415523747,Q1758164,6fcbr6by372
n,415523750,Q956006,6fftwjjkxe0
n,415523751,Q950522,6fgppv4qvrg
n,415523754,Q985575,6fgre2xhj5s
n,415523759,Q1802230,6fdwuvztk9d
n,415523762,Q1786799,6fdrnxpc5e5
n,415523768,Q1774445,6ff3xpghxut
n,415523771,Q684946,6fe1yq5eg11
n,415523772,Q956087,6fgq8gr33yb
n,415523773,Q1757450,6fgkkstsv6f
n,415523774,Q523535,6fgm47vky5p
n,415523775,Q514256,6fdv2mcjugg
n,415523776,Q1758814,6fdu0pztzu4
n,415523779,Q677252,6fdyf2xduy6
n,415523781,Q640384,6feh97v1jq7
n,415523784,Q1758925,6ffbjb9dnn9
n,415523785,Q1758932,6ffbfdenvuq
n,415523786,Q983517,6fdzs2fh5jp
n,415523787,Q1758806,6fg09zx0tqw
n,415523790,Q1639741,6fejwfpb7tv
n,415523793,Q779064,6fg01t6rbku
n,415523794,Q1012550,6fg03edjkhw
n,415523795,Q1751344,6fem94zgkjj
n,415523796,Q1646949,6feneb0g3y6
n,415523799,Q1754588,6fejy51s3vk
n,415523800,Q606083,6fejxj7npwg
n,415523804,Q1001470,6ferhu3w721
n,415523805,Q1750080,6ferfuen9f1
n,415523807,Q985568,6fg0kcn2uhf
n,415523808,Q1759203,6fg0gdmddk2
n,415523809,Q538120,6fg22nxdnbg
n,415523810,Q1758766,6fepyu0nt8s
n,415523820,Q958661,6few5mv2kgf
n,415523821,Q694822,6fetxsggqv9
n,415523823,Q449593,6fetmen8mc3
n,415523824,Q957697,6fett7vkrpq
n,415523825,Q957668,6fes8q9q11b
n,415523826,Q732905,6fesyggb591
n,415523828,Q680577,6fg2zh9vd1p
n,415523830,Q1750236,6ferwv5fbsw
n,415523831,Q985582,6fex44t0k21
n,415523832,Q985499,6fex79cdywq
n,415523833,Q942122,6few7g3z9k8
n,415523834,Q688275,6fewsp2eb4m
n,415523835,Q733173,6fg86gt4nuv
n,415523836,Q224690,6fg856kpb60
n,415523837,Q983487,6fexeudmyvr
n,415523844,Q379483,6fg8ptvn249
n,415523845,Q983710,6fg8uum0krc
n,415523847,Q783009,6fextqmx3bt
n,415523848,Q983717,6fexrk3fyj9
n,415523849,Q388073,6fexnjfu3u0
n,415523851,Q984547,6fsn66nq3pq
n,415523852,Q984552,6fgbhe5w5h5
n,415523854,Q984550,6fsp31fgzyk
n,415523855,Q578627,6fu02zn67d7
n,415523857,Q1754330,6fccdrjddx6
n,415523858,Q1756630,6fcdwf5vknk
n,415523859,Q694833,6fgbf7gb2ur
n,415523860,Q984557,6fez9wke760
n,415523863,Q983702,6fez7r1f5wj
n,415523865,Q926647,6fezu1n6ppd
n,415523866,Q967715,6fezk7n8rjb
n,415523867,Q1757154,6ff1437putj
n,415523870,Q577838,6ff346jxfux
n,415523871,Q1803262,6ff66vtcq40
n,415523876,Q194374,6fcwt00etu7
n,415523877,Q985966,6fcvh1m3z6s
