@type,@id,wikidata,"name"
node,289850189,Q1783966,"Araguatins"
node,289853918,Q1788037,"Conceição do Araguaia"
node,291371217,Q1758267,"Ituporanga"
node,292670958,Q1008198,"Salinópolis"
node,292707625,Q2008440,"São João de Pirabas"
node,293309457,Q1814514,"Curuçá"
node,293309466,Q1990477,"Marapanim"
node,293781663,Q1804913,"Vigia"
node,295793417,Q772569,"Viseu"
node,296141631,Q891934,"Bombinhas"
node,296144979,Q951660,"Tijucas"
node,296145795,Q744097,"Camboriú"
node,296146867,Q2023825,"São João Batista"
node,298202242,Q1780238,"Delfim Moreira"
node,299143591,Q25444234,"Cachoeira da Fumaça"
node,300171618,Q10290253,"Glória"
node,302182823,Q1142766,"Museu da República"
node,308325849,Q641440,"Aiuaba"
node,310150484,Q16496875,"Barra do Jucu"
node,310150487,Q9722317,"Centro"
node,310626244,Q525647,"Passo Fundo"
node,312781325,Q651807,"Carolina"
node,313557783,Q40269,"Porto Alegre"
node,313785551,Q271215,"Corumbá"
node,314980218,Q1786769,"São João do Sabugi"
node,314993798,Q1759622,"Ceará-Mirim"
node,316858015,Q181056,"Boa Vista"
node,317020692,Q45304580,"Igapó"
node,317982874,Q10333632,"Museo Ferroviário de Paranapiacaba"
node,318862599,Q1646975,"Ariquemes"
node,318862744,Q1803223,"Ouro Preto do Oeste"
node,318863216,Q1871362,"Presidente Médici"
node,318863255,Q1761637,"Cacoal"
node,318863667,Q1803175,"Pimenta Bueno"
node,318868723,Q986526,"Cáceres"
node,318874437,Q166445,"Poconé"
node,318926448,Q1805634,"Jaciara"
node,318929131,Q983714,"Rondonópolis"
node,319009648,Q1805638,"Rio Verde de Mato Grosso"
node,319010721,Q1793013,"Coxim"
node,319054316,Q168929,"Campo Grande"
node,319056350,Q1792157,"Aquidauana"
node,319058462,Q1797146,"Camapuã"
node,319065796,Q519471,"Miranda"
node,319157216,Q1806336,"Nova Alvorada do Sul"
node,319157334,Q1793219,"Rio Brilhante"
node,319157717,Q651874,"Dourados"
node,319158688,Q279492,"Caarapó"
node,319164694,Q1805021,"Itaquiraí"
node,319165126,Q2019293,"Eldorado"
node,319165338,Q2289881,"Mundo Novo"
node,319170063,Q2004082,"Guaíra"
node,319206254,Q2003833,"Marechal Cândido Rondon"
node,319208145,Q1776774,"Toledo"
node,320496200,Q10332511,"Morro do Moreno"
node,320496315,Q10347241,"Pedra dos Olhos"
node,320592041,Q1915115,"Santa Rita"
node,320623104,Q1807313,"Bacabal"
node,320637955,Q2012733,"Itapecuru-Mirim"
node,320642200,Q2106358,"Rosário"
node,320653422,Q997107,"Caxias"
node,320655675,Q1017101,"Timon"
node,320661313,Q165341,"Teresina"
node,320692703,Q1810825,"Picos"
node,320694218,Q578114,"Água Branca"
node,320996447,Q25442769,"Caracará"
node,321154272,Q842143,"Petrolina"
node,321178434,Q753044,"Juazeiro"
node,321180724,Q1795362,"Capim Grosso"
node,321189260,Q1806968,"Entre Rios"
node,321247455,Q1762068,"Ubaitaba"
node,321251354,Q282335,"Teixeira de Freitas"
node,321252396,Q943536,"Itamaraju"
node,321710258,Q1647045,"Pacaraima"
node,322128507,Q2065952,"Santa Mariana"
node,322760286,Q22049658,"Morro do Macaco"
node,329967198,Q376503,"Américo Brasiliense"
node,331385780,Q464449,"Estátua Princesa Isabel"
node,332160356,Q653716,"Saquarema"
node,332175590,Q1754389,"Sena Madureira"
node,332175594,Q1994833,"Feijó"
node,332175596,Q771763,"Senador Guiomard"
node,332175598,Q1754403,"Assis Brasil"
node,332175600,Q979910,"Tarauacá"
node,332175605,Q941136,"Cruzeiro do Sul"
node,332175615,Q171612,"Rio Branco"
node,332175617,Q899406,"Brasiléia"
node,332517552,Q10275637,"Catete"
node,333472516,Q2012374,"Sorriso"
node,334208306,Q1878476,"Rio Negro"
node,334208450,Q1020414,"Mafra"
node,335327090,Q1760327,"Joanópolis"
node,335349291,Q10375665,"São Francisco Xavier"
node,335415261,Q2387325,"Pico das Agulhas Negras"
node,335525047,Q1760959,"Bom Jesus dos Perdões"
node,335533781,Q851253,"Campos do Jordão"
node,335859207,Q985506,"Jacupiranga"
node,335860832,Q1760286,"Pariquera-Açu"
node,335864387,Q1646941,"Iguape"
node,335962496,Q1003456,"Cunha"
node,336168618,Q5592595,"Gragoatá"
node,336169704,Q5074443,"Charitas"
node,336170062,Q6315432,"Jurujuba"
node,336171569,Q5025214,"Camboinhas"
node,336189679,Q1804821,"Campo Magro"
node,336205114,Q1948966,"Lorena"
node,336209311,Q897232,"Bragança Paulista"
node,338515447,Q1798722,"Mendes"
node,338515448,Q2057463,"Natividade"
node,338515449,Q1804056,"Miracema"
node,338515450,Q1015780,"Piraí"
node,338515451,Q1843603,"Pinheiral"
node,338515452,Q765477,"Porto Real"
node,338515453,Q1802244,"Porciúncula"
node,338515454,Q304947,"Paraíba do Sul"
node,338515455,Q955927,"Paty do Alferes"
node,338515457,Q534937,"Cordeiro"
node,338515459,Q730437,"Itaguaí"
node,338515462,Q712089,"Duque de Caxias"
node,338515463,Q817223,"Itatiaia"
node,338515465,Q1804085,"Itaocara"
node,338515466,Q1675245,"Itaperuna"
node,338515467,Q468563,"Nova Friburgo"
node,338515468,Q1798731,"Miguel Pereira"
node,338515469,Q983459,"Nilópolis"
node,338515470,Q1802179,"Paracambi"
node,338515472,Q1787793,"São Fidélis"
node,338515473,Q1787681,"São Francisco de Itabapoana"
node,338515474,Q923201,"São João da Barra"
node,338515476,Q748985,"Sapucaia"
node,338515477,Q927311,"Silva Jardim"
node,338515478,Q1787520,"Sumidouro"
node,338515479,Q941236,"São José do Vale do Rio Preto"
node,338515480,Q1787655,"Três Rios"
node,338515481,Q276176,"Volta Redonda"
node,338515482,Q1806430,"Vassouras"
node,338515483,Q1005931,"Valença"
node,338515484,Q581213,"São Pedro da Aldeia"
node,338515487,Q188897,"Nova Iguaçu"
node,338515489,Q1761488,"Iguaba Grande"
node,338515490,Q984780,"Mesquita"
node,338515491,Q473250,"Macaé"
node,338515493,Q1788412,"Santo Antônio de Pádua"
node,338515494,Q601169,"Conceição de Macabu"
node,338515495,Q459690,"São João de Meriti"
node,338515496,Q1800756,"Queimados"
node,338515498,Q1787673,"Japeri"
node,338515499,Q1803183,"Quissamã"
node,338515500,Q953901,"Rio Claro"
node,338515501,Q1787668,"Rio das Ostras"
node,338515503,Q1765089,"Carmo"
node,338515504,Q1763072,"Cantagalo"
node,338515512,Q913390,"Resende"
